"gene_name","blast_annot","GOs","pfams","signalP","TMHMM","rhy_foragers","rhy_nurses","identity"
"LOC105248095","syntenin-1","GO:0005515|protein binding","PF17820|PDZ domain; PF00595|PDZ domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105248279","acetyl-CoA acetyltransferase, cytosolic","GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups","PF00108|Thiolase, N-terminal domain; PF02803|Thiolase, C-terminal domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105248761","zinc transporter 1","GO:0006812|cation transport; GO:0008324|cation transmembrane transporter activity; GO:0016021|integral component of membrane; GO:0055085|transmembrane transport","PF01545|Cation efflux family",0,5,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105248807","B-cell receptor-associated protein 31","GO:0005783|endoplasmic reticulum; GO:0006886|intracellular protein transport; GO:0016021|integral component of membrane","PF18035|Bap31/Bap29 cytoplasmic coiled-coil domain; PF05529|Bap31/Bap29 transmembrane region",0,3,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105249255","monoacylglycerol lipase ABHD12 isoform X3","GO:0004622|lysophospholipase activity","PF12146|Serine aminopeptidase, S33",0,2,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105249489","solute carrier family 35 member E1 homolog",NA,"PF03151|Triose-phosphate Transporter family",0,8,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105249795","CD63 antigen","GO:0016021|integral component of membrane","PF00335|Tetraspanin family",0,4,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105250264","LIM and senescent cell antigen-like-containing domain protein 1",NA,"PF00412|LIM domain; PF00412|LIM domain; PF00412|LIM domain; PF00412|LIM domain; PF00412|LIM domain",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105250347","proteolipid protein DM beta isoform X2","GO:0016021|integral component of membrane","PF01275|Myelin proteolipid protein (PLP or lipophilin)",0,4,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105250467","cell death-inducing p53-target protein 1",NA,"PF10601|LITAF-like zinc ribbon domain",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105250619","sialin","GO:0005887|integral component of plasma membrane; GO:0055085|transmembrane transport","PF07690|Major Facilitator Superfamily",0,10,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105250754","uncharacterized protein LOC105250754",NA,NA,3,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105250861","actin-related protein 10",NA,"PF00022|Actin",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105251260","ceramide synthase 6","GO:0016021|integral component of membrane","PF03798|TLC domain",0,4,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105251271","U8-agatoxin-Ao1a isoform X2","GO:0005576|extracellular region; GO:0008200|ion channel inhibitor activity; GO:0009405|pathogenesis","PF02819|Spider toxin",1,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105251489","short-chain dehydrogenase/reductase family 16C member 6",NA,"PF00106|short chain dehydrogenase",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105251774","endoplasmic reticulum resident protein 44 isoform X1","GO:0045454|cell redox homeostasis","PF13848|Thioredoxin-like domain; PF00085|Thioredoxin",1,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105251958","DNA polymerase V","GO:0003677|DNA binding; GO:0005730|nucleolus; GO:0006355|regulation of transcription, DNA-templated; GO:0008134|transcription factor binding","PF04931|DNA polymerase phi",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105252467","rhodopsin-like isoform X3","GO:0004930|G protein-coupled receptor activity; GO:0007186|G protein-coupled receptor signaling pathway; GO:0016021|integral component of membrane","PF00001|7 transmembrane receptor (rhodopsin family)",0,7,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105252553","ethanolaminephosphotransferase 1","GO:0008654|phospholipid biosynthetic process; GO:0016020|membrane; GO:0016780|phosphotransferase activity, for other substituted phosphate groups","PF01066|CDP-alcohol phosphatidyltransferase",0,10,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105252563","geranylgeranyl pyrophosphate synthase isoform X1","GO:0008299|isoprenoid biosynthetic process","PF00348|Polyprenyl synthetase",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105252743","transmembrane protein 208",NA,"PF05620|SRP-independent targeting protein 2/TMEM208",0,3,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105252808","protein YIPF6 isoform X1","GO:0016020|membrane","PF04893|Yip1 domain",0,3,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105252984","major facilitator superfamily domain-containing protein 12","GO:0008643|carbohydrate transport; GO:0015293|symporter activity; GO:0016021|integral component of membrane","PF13347|MFS/sugar transport protein",0,12,"24h","24h","24h-rhythmic in foragers; module-12 gene"
